lat,long,elev,timediff,OBUID
408628006,-778337917,3338,34:12.4,2a3c600a
408628095,-778337784,3339,34:12.5,2a3c600a
408628183,-778337652,3338,34:12.6,2a3c600a
408628265,-778337518,3339,34:12.7,2a3c600a
408628352,-778337382,3339,34:12.8,2a3c600a
408628436,-778337249,3339,34:12.9,2a3c600a
408628522,-778337115,3338,00:34:13,2a3c600a
408628605,-778336982,3338,34:13.1,2a3c600a
408628689,-778336846,3338,34:13.2,2a3c600a
408628775,-778336708,3339,34:13.3,2a3c600a
408628858,-778336570,3338,34:13.4,2a3c600a
408628944,-778336432,3339,34:13.5,2a3c600a
408629023,-778336297,3339,34:13.6,2a3c600a
408629108,-778336158,3339,34:13.8,2a3c600a
408629191,-778336021,3339,34:13.9,2a3c600a
408629273,-778335881,3339,34:14.0,2a3c600a
408629357,-778335743,3339,34:14.0,2a3c600a
408629441,-778335601,3339,34:14.2,2a3c600a
408629524,-778335462,3339,34:14.6,2a3c600a
408629608,-778335322,3339,34:14.6,2a3c600a
408629694,-778335183,3339,34:14.7,2a3c600a
408629772,-778335042,3339,34:14.7,2a3c600a
408629857,-778334898,3339,34:15.0,2a3c600a
408629940,-778334763,3339,34:15.1,2a3c600a
408630026,-778334622,3339,34:15.2,2a3c600a
408630105,-778334476,3339,34:15.3,2a3c600a
408630188,-778334340,3338,34:15.4,2a3c600a
408630272,-778334199,3339,34:15.6,2a3c600a
408630355,-778334055,3339,34:15.7,2a3c600a
408630439,-778333915,3339,34:15.7,2a3c600a
408630524,-778333776,3339,34:15.8,2a3c600a
408630609,-778333635,3339,34:16.0,2a3c600a
408630695,-778333493,3339,34:16.1,2a3c600a
408630775,-778333350,3339,34:16.2,2a3c600a
408630860,-778333210,3339,34:16.3,2a3c600a
408630945,-778333068,3338,34:16.5,2a3c600a
408631024,-778332925,3338,34:16.6,2a3c600a
408631111,-778332784,3338,34:16.8,2a3c600a
408631192,-778332641,3338,34:16.9,2a3c600a
408631275,-778332500,3338,34:17.0,2a3c600a
408631359,-778332355,3338,34:17.2,2a3c600a
408631440,-778332214,3338,34:17.3,2a3c600a
408631526,-778332074,3339,34:17.4,2a3c600a
408631612,-778331931,3339,34:17.4,2a3c600a
408631698,-778331792,3339,34:17.5,2a3c600a
408631780,-778331648,3339,34:17.6,2a3c600a
408631867,-778331501,3339,34:17.7,2a3c600a
408631953,-778331358,3339,34:17.8,2a3c600a
408632035,-778331216,3339,34:17.9,2a3c600a
408632119,-778331072,3339,34:18.0,2a3c600a
408632203,-778330929,3339,34:18.1,2a3c600a
408632288,-778330785,3339,34:18.2,2a3c600a
408632373,-778330641,3339,34:18.2,2a3c600a
408632457,-778330497,3339,34:18.2,2a3c600a
408632543,-778330354,3339,34:18.4,2a3c600a
408632631,-778330211,3340,34:18.4,2a3c600a
408632718,-778330066,3340,34:18.5,2a3c600a
408632800,-778329924,3339,34:18.6,2a3c600a
408632885,-778329776,3339,34:18.7,2a3c600a
408632969,-778329631,3340,34:18.8,2a3c600a
408633053,-778329487,3339,34:18.8,2a3c600a
408633136,-778329340,3340,34:18.8,2a3c600a
408633224,-778329195,3340,34:18.8,2a3c600a
408633307,-778329051,3339,34:18.8,2a3c600a
408633390,-778328904,3339,34:18.8,2a3c600a
408633475,-778328761,3339,34:18.9,2a3c600a
408633560,-778328613,3339,00:34:19,2a3c600a
408633647,-778328467,3339,34:19.1,2a3c600a
408633728,-778328320,3339,34:19.2,2a3c600a
408633813,-778328176,3339,34:19.3,2a3c600a
